Bad experience, call back customer at her comfort time instead phone appointment time	Aug 31, 2022	2022-08-31	Rated 1 out of 5 stars	Bad experience, I have place online phone appointment at 1pm to 2pm, not any idiot call, till I call at about 1510pm on 31th August 2022, at your service phone number I complained the received service agent did not back, then about same day, at about 1515pm a girl called, at the start she do even apologize like she is indecent n dont know nothing, do remind her, 1) she should apologize on the beginning of the call, as she did not call at we requested time, not act as indecent like she don't know, 2)Her time is her time, I need to work at 1500pm that is my time, she can't call as she happy to call at her comfort. Tell her this is call service, one answer to your customer service when I start to call in, she say why I angry as I make many round via online to buy my travel plan, n make a phone call back appointment was no call at 1pm to 2pm, yes 8 am angry, the lady tell me off, if not one call back I should drop to buy my travel insurance via FWD, do answer her, yes, FWD is reasonable price, and I shiok & happy, n have money to buy your company travel policy, can i? If any verification do call me, thank u n best regards, Gilbert Kong @98686889.	630f120a59a4c60012c870a0	2
clear and concise.	Aug 30, 2022	2022-08-30	Rated 4 out of 5 stars		630e2864da72b300120afde2	2
no comments but your policy is getting…	Aug 30, 2022	2022-08-30	Rated 4 out of 5 stars	no comments but your policy is getting expensive.	5cf476bcedd84eed8bb86d42	2
Travel insurance	Aug 30, 2022	2022-08-30	Rated 5 out of 5 stars	Pam was patience	630db9969e069800133f542e	2
Officer handling professionally	Aug 30, 2022	2022-08-30	Rated 5 out of 5 stars		630d83e6485cac0012d6dd1c	2
Its easy to purchase travel insurance…	Aug 30, 2022	2022-08-30	Rated 5 out of 5 stars	Its easy to purchase travel insurance from FWD.	630d71c459a4c60012c7874f	2
Trusted and good service	Aug 30, 2022	2022-08-30	Rated 5 out of 5 stars	Regular purchaser for FWD, really like the services provided	5c739957d33974b8679ccbdf	2
good job	Aug 29, 2022	2022-08-29	Rated 5 out of 5 stars	Needed a travel insurance policy in a rush, and it was just so easy and efficient to get it from FWD online.	630cea09485cac0012d67027	2
FAST AND RESPONSIVE PLATFORM.WILL…	Aug 29, 2022	2022-08-29	Rated 5 out of 5 stars	FAST AND RESPONSIVE PLATFORM.WILL PURHCASE AGAIN FOR NEXT TRIP.	630c784773e4650013bbf792	2
review write	Aug 29, 2022	2022-08-29	Rated 4 out of 5 stars		630c5b659e069800133e5b0a	2
Affordable.	Aug 29, 2022	2022-08-29	Rated 5 out of 5 stars	This is an affordable plan for the senior which is already retire. Thank you.	630c365ebaa5ed001295baeb	2
Always my favorite!	Aug 29, 2022	2022-08-29	Rated 5 out of 5 stars	Excellent service & ease of transaction. competitive quotes so the one to be with :)	5d75ce28e0fe8b6662699928	2
Efficient process on renewal home policy	Aug 28, 2022	2022-08-28	Rated 4 out of 5 stars		5cbf31dfd59369c4470ffb75	3
Great	Aug 27, 2022	2022-08-27	Rated 5 out of 5 stars	Great and straight forward.  Thank you.	5c0b7edb3f0baa667b27999f	3
Great people.  Accurate work. Fast. Diligent.	Aug 26, 2022	2022-08-26	Rated 5 out of 5 stars	Adeline Wong of FWD called me about my motorbike insurance. In essence they wish to give me back $71 because I over-paid because I wrongly declared my NCB and my claim record.  So nice of them to chase me for a credit.  In addition they cleaned up the start date of the insurance by moving it to the expiry of the current insurance.   Great people.  Accurate work. Fast. Diligent. People who call back know their stuff.   Thank you!	5b9152dd4de5666d34bc286d	3
THE STEP TO BUY IS VERY EASY AND CLEAR…	Aug 26, 2022	2022-08-26	Rated 4 out of 5 stars	THE STEP TO BUY IS VERY EASY AND CLEAR . THANK YOU	630865f1b2fce80012ac12fe	3
EASY TO PURCHASE GUIDANCE	Aug 26, 2022	2022-08-26	Rated 5 out of 5 stars	Easy to follow and Systematic.	560a10ac0000ff0001df3341	3
Faulty mobile app	Aug 26, 2022	2022-08-26	Rated 4 out of 5 stars	Couldn't use the mobile app to buy a new travel insurance cover as it does not has any input for travel dates. So, has to use my PC instead. Please check your app (android)	630860629e069800133c60d8	3
Easy to follow the steps to purchase	Aug 25, 2022	2022-08-25	Rated 5 out of 5 stars	Easy to follow the steps to purchase.  The font size is just nice, not too small.	5cbddf27f8a67d730d23e0f2	3
Good pricing and discount for car insurance	Aug 25, 2022	2022-08-25	Rated 5 out of 5 stars	Good pricing and discount for car insurance, easy renewal.	63077a48b2fce80012ab926e	3
Simple	Aug 25, 2022	2022-08-25	Rated 5 out of 5 stars	Simple, friendly and Fast.	5d4e4c1515bfc712460626b4	3
Easy to fill up and purchase the plan…	Aug 25, 2022	2022-08-25	Rated 5 out of 5 stars	Easy to fill up and purchase the plan less than 10mins	5bdfa3a14de5666d34629a45	3
FWD always the choice for my travel…	Aug 25, 2022	2022-08-25	Rated 5 out of 5 stars	FWD always the choice for my travel insurance!	63070b55b2fce80012ab386e	3
Simple form and no limitation to travel…	Aug 24, 2022	2022-08-24	Rated 5 out of 5 stars	Simple form and no limitation to travel partner must be spouse	630643b4b2fce80012aacdd0	3
Well answered written reply	Aug 24, 2022	2022-08-24	Rated 5 out of 5 stars	I received a missed call from FWD about my enquiry on refund matters. When I called back, my clarification was resolved. But I still receive a written reply from Irish Go, which I felt quite happy to receive it. That is testament to customer service professionalism at its finest, which I am appreciative.	63061c8f1cedae001264b2b6	3
Excellent!!!!	Aug 24, 2022	2022-08-24	Rated 5 out of 5 stars	Excellent!!!!Pam was quick and professional and was really helpful. She was proactive to update us with the status of the application as well. Felt as a VALUED customer. Thank you so much Pam and FWD. Best,Vipul	6305f02408df9c001216487c	3
An expired promotion code was displayed…	Aug 24, 2022	2022-08-24	Rated 4 out of 5 stars	An expired promotion code was displayed for me to use on my 1st attempt to apply for home insurance. Then when my personal particulars were completed, you returned an error message saying promotion code no longer valide. I had to redo my application from the very beginning again. Time wasted!	5dd500fc0410532dee440f51	3
Excellent online processing	Aug 23, 2022	2022-08-23	Rated 5 out of 5 stars	Excellent online processing. Ease of transaction	6304c2fba0f1270012629333	3
Good	Aug 23, 2022	2022-08-23	Rated 5 out of 5 stars	User friendly website!	630475660739450012bbd388	3
Easily understand and straight forward…	Aug 23, 2022	2022-08-23	Rated 5 out of 5 stars	Easily understand and straight forward and simple.	6304516967bc4b0013f16d0a	3
REALLY REALLY REALLY SLOW ONLINE…	Aug 23, 2022	2022-08-23	Rated 1 out of 5 stars	REALLY REALLY REALLY SLOW ONLINE PURCHASE EXPERIENCE (I have really fast internet too!)	630412e4b6844a00140a6fbd	3
Easy to buy and claim	Aug 22, 2022	2022-08-22	Rated 5 out of 5 stars	Easy to buy and claim. Fuss-free.	5cc05bc461906ada4f04c285	3
Simple and user friendly renewal process	Aug 22, 2022	2022-08-22	Rated 5 out of 5 stars		63032fa7b6844a001409b3c0	4
Easy to apply for travel insurance with…	Aug 21, 2022	2022-08-21	Rated 5 out of 5 stars	Easy to apply for travel insurance with clear instructions. Value for money also.	5c6a5e4d04c1aee838b066f8	4
Simple and friendly system	Aug 20, 2022	2022-08-20	Rated 5 out of 5 stars	Simple and friendly system. good experience and enjoying it	63004d2771409f001428a0d1	4
Good	Aug 19, 2022	2022-08-19	Rated 5 out of 5 stars	Fast and easy and simple	62ffa0bfe23b3e0012a55478	4
Good	Aug 19, 2022	2022-08-19	Rated 4 out of 5 stars	Good,  easy access	561e51520000ff0001e2f10b	4
Smooth and easy	Aug 19, 2022	2022-08-19	Rated 4 out of 5 stars		613346b87e192900125519ea	4
Very fast and efficient.	Aug 19, 2022	2022-08-19	Rated 5 out of 5 stars		5e194fd5013d416b65201200	4
Purchase of travel insurance-Good experience	Aug 19, 2022	2022-08-19	Rated 5 out of 5 stars	I called the help line and the person was very helpful in answering my questions about the travel insurance, which mede me confident in going with FWD.	626a36e0fa908b00134941d6	4
terms are clearly explained and easy to…	Aug 19, 2022	2022-08-19	Rated 4 out of 5 stars	terms are clearly explained and easy to transact online.	62ff3eb2eab64b001381312a	4
Simple and Good	Aug 19, 2022	2022-08-19	Rated 5 out of 5 stars	Simple and straight forward for purchase. Customer service is good.	62ff3c0975b1200012e2d7ab	4
Contacted FWD cos encountered an issue…	Aug 19, 2022	2022-08-19	Rated 5 out of 5 stars	Contacted FWD cos encountered an issue with my helper’s medical examination.  The clinic made helper pay for the medical fees despite her having proper coverage.  Tracy from FWD was able to resolve the issue with the clinic and a refund was paid out eventually.  Thank you Tracy	62fefc89eab64b0013811966	4
I always purchase FWD insurance for all…	Aug 19, 2022	2022-08-19	Rated 5 out of 5 stars	I always purchase FWD insurance for all my travels because they are very reliable and the process is fuss free & easy to understand.	5cd77fb16e5fb2917f867f41	4
Good work Jayde	Aug 19, 2022	2022-08-19	Rated 5 out of 5 stars	Good work Jayde!  Thanks for your responsiveness and effiency!	62fed17b1bb0fa00126f5d3e	4
Good job Venus G !	Aug 18, 2022	2022-08-18	Rated 5 out of 5 stars	Venus G is very efficient and responsible!	62fe3861ee8f770012b23e5b	4
I found this is easy and convenient to…	Aug 18, 2022	2022-08-18	Rated 5 out of 5 stars	I found this is easy and convenient to renew my House Insurance. Thank u.	57662b420000ff000a2a7fce	4
Easy and clear outlines of what is…	Aug 18, 2022	2022-08-18	Rated 5 out of 5 stars	Easy and clear outlines of what is covered and what is not covered	62fde610148cf40013c10d47	4
Good chat agent Evon Thoo who answered…	Aug 18, 2022	2022-08-18	Rated 5 out of 5 stars	Good chat agent Evon Thoo who answered all my questions!	62fde429e752770013207dca	4
fuss free	Aug 17, 2022	2022-08-17	Rated 5 out of 5 stars	fuss free. love it.	62fd1224e75277001320114a	4
Promotional Offers	Aug 17, 2022	2022-08-17	Rated 4 out of 5 stars	Dear Sirs/Madam,I would like to first of all thank Ms Yvonne from Customer Service that called me today to follow up on my enquiry on 10th Aug 2022. She managed to put my purchase on the NDP57 (Less 57% Promotion Plan).I was travelling and returned on 10th Aug and when I saw my email on your NDP -57% promotion plan, I immediately obtained a quote for the Classic plan and included a rider to cover any driver. I was quite happy to enjoy the 57% discount but unfortunately when I proceeded with the payment and already submitted my credit card details for the check out then I realised that the quoted amount have changed as the time was just minutes past 12 midnight of 10th Aug 2022. Immediately I put a stop to the transaction and contacted the online chat but could not get a satisfactory reply, so I left a message for your return call. My point is that your system could have advised your customers 5 minutes before the cut-off rather than let the transaction take place and change the price. Or you should have honoured the quoted price since the transaction has already reached the final step of purchase! Instead your system chose to sneakily change the total amount just seconds before they hit the PAY button! I understand that your system need a rule for the cut-off mark but I must say that it was disappointing as you did not consider that the customer had already taken the implied step of payment. I would suggest that for your future promotions, if the transaction have already reached the final step of payment (credit card details already provided) your system should accept it rather than losing the sale! Your system could also prompt the customer to pay immediately in order to enjoy the discount provided the transaction is at the final check-out step. Thank you for your time to hear me out on this. Best regards.	5d418aa70d75874117754c2a	4
Positive experience with FWD Customer Engagement Team	Aug 17, 2022	2022-08-17	Rated 5 out of 5 stars	I called Fwd on 27/07/22 to enquire about motorcycle insurance that I have and would like to cancel that due to motorcycle sale and my intention to purchase another motorcycle and have that insured with Fwd again. Call was received my Tracy from Customer Engagement Team. She was patient to listen to my situation and my concerns. She explained to me in detail on the process, the steps I should take and how I can save some money on cancellation fee. She went further and email me on what’s being spoken about earlier on phone. I’m so appreciative of her service. She’s fantastic. It is so rare to have such a high level of customer service these days and this particular experience is really worth sharing. Thank you Tracy. In the subsequent weeks after I sold my motorcycle and purchased the another, this case was well followed up by Nora, also from customer engagement team, via phone calls and emails. Nora provided timely and useful updates on my request. It was overall a very positive experience for me. I shared this with all of my motorcycle buddies and they were impressed with FWD’s service. Keep it up ladies.	62fc6e080384400012fe35d8	4
Easy application.	Aug 17, 2022	2022-08-17	Rated 5 out of 5 stars		62fc1377e7527700131f68fc	5
Simple to use.	Aug 16, 2022	2022-08-16	Rated 5 out of 5 stars		5ba34b6d4de5666d3445ff55	5
Seamless process and very fast issuance…	Aug 16, 2022	2022-08-16	Rated 5 out of 5 stars	seamless process and very fast issuance of policy.	5cdae45ca5274e8e7b1d0e5a	5
Very easy and seamless to use	Aug 16, 2022	2022-08-16	Rated 5 out of 5 stars	Very easy and seamless to use. Fantastic.	62fb764ee7527700131ee5ca	5
Easy to access and affordable.	Aug 16, 2022	2022-08-16	Rated 5 out of 5 stars		5df0fa772ce6dfc73ad209c5	5
I always choose FWD as the service and…	Aug 16, 2022	2022-08-16	Rated 5 out of 5 stars	I always choose FWD as the service and user interface is very easy and simple.	62fb1c0ee7527700131ea782	5
Smooth and fast transaction.	Aug 16, 2022	2022-08-16	Rated 4 out of 5 stars	Smooth transaction.	62fb0593444ab4001304d1eb	5
Renewal of work permit	Aug 16, 2022	2022-08-16	Rated 4 out of 5 stars	Easy to understand and renewal processes	62fb029280ec870013ebac37	5
easy to use the platform to purchase…	Aug 14, 2022	2022-08-14	Rated 5 out of 5 stars	easy to use the platform to purchase insurance.	62f8cb380a1282001276b01c	5
Awesome	Aug 13, 2022	2022-08-13	Rated 5 out of 5 stars	Great experience	62f7896b0a128200127616c9	5
Fast and seamless purchase of travel…	Aug 13, 2022	2022-08-13	Rated 4 out of 5 stars	Fast and seamless purchase of travel insurance	62f6e89e444ab40013029b7c	5
I'm above and beyond grateful that FWD…	Aug 12, 2022	2022-08-12	Rated 5 out of 5 stars	I'm above and beyond grateful that FWD customer agents reached out to me to help solve the web issue that i was encountering. I am very thankful and super happy to have purchased my sis and my Travel Insurance from FWD. Thank you very much for all of your help!	62f64cb9d839b10012443019	5
Great CS	Aug 12, 2022	2022-08-12	Rated 5 out of 5 stars	Great CS, prompt follow up to my issue and per my request.	62f5e95c1d08f400128beb18	5
FWD Should not collect personal…	Aug 11, 2022	2022-08-11	Rated 1 out of 5 stars	FWD Should not collect personal particulars.	62f51b88813ff10012f7e9ae	5
easy to access and complete the…	Aug 11, 2022	2022-08-11	Rated 5 out of 5 stars	easy to access and complete the insurance cover.	5d09b0ee252a769cb12d6bab	5
Been trying since last night but…	Aug 11, 2022	2022-08-11	Rated 1 out of 5 stars	Been trying since last night but website keeps crashing.	62f4fc841d08f400128b619d	5
User Friendly	Aug 11, 2022	2022-08-11	Rated 5 out of 5 stars	Fast Simple and Straightforward	62f4ee2f1d08f400128b5335	5
User friendly	Aug 11, 2022	2022-08-11	Rated 5 out of 5 stars	U a er friendly	62f4ed68e5875100125834a4	5
The website keep crashing yesterday & I…	Aug 11, 2022	2022-08-11	Rated 1 out of 5 stars	The website keep crashing yesterday & I just paid but did not receive the policy notice.	62f4e0ba813ff10012f7af9d	5
Easy procedure to renew policy	Aug 11, 2022	2022-08-11	Rated 5 out of 5 stars	Easy procedure to renew policy.  Good online reminder and promotions:)	5f6422183aaf97001b82ccb6	5
Payment gateway not responding	Aug 11, 2022	2022-08-11	Rated 1 out of 5 stars	Payment gateway not responding, keep trying for more than 5 times only get through.	62f4c44d5f9959001468af73	6
The website tends to hang and also…	Aug 11, 2022	2022-08-11	Rated 3 out of 5 stars	The website tends to hang and also making payment also hand for quite long. After numerous of attempt, finally it works. This promotions of 57% is great but the issue is the excess are too high for the customers to swallow. Thanks	5cda5aeb083ba9cedbb661f4	6
Easy To fill up	Aug 11, 2022	2022-08-11	Rated 4 out of 5 stars		62f4a8d1a86c6400125ee9a5	6
Great deal with the national day…	Aug 11, 2022	2022-08-11	Rated 5 out of 5 stars	Great deal with the national day promotion. Thanks for the offering!	62f49110a86c6400125ee017	6
Tried last night (10 Aug) and had some…	Aug 11, 2022	2022-08-11	Rated 4 out of 5 stars	Tried last night (10 Aug) and had some trouble accessing the quick quote details, with a message to call during office hours. But such problem this morning.  It was a simple and quick experience.	62f47fc9a86c6400125edbe4	6
Simple and straight forward.	Aug 11, 2022	2022-08-11	Rated 4 out of 5 stars		6028d5490da303001b809263	6
thanks for extending the NDP promo	Aug 11, 2022	2022-08-11	Rated 5 out of 5 stars	thanks for extending the NDP promo. I was quite disappointed last night when i cannot book. I keep on getting error message.	5d6e534a328569a49a94febe	6
Many thanks to Norasheila for helping…	Aug 11, 2022	2022-08-11	Rated 5 out of 5 stars	Many thanks to Norasheila for helping me expedite the changes on my policy documents. I wasn't able to load the policy documents sent via email and need it urgently to renew road tax so she resend the attachment after Koki did the endorsement.Never regret changing from ntuc to fwd!	62f467bde58751001257e287	6
I paid for a travel insurance business…	Aug 11, 2022	2022-08-11	Rated 1 out of 5 stars	I paid for a travel insurance business (500k limit) and covid add on. I see the policy document download  only has the covid details  What about the business one ?	62f464be1d08f400128aff25	6
Simple and easy to navigate	Aug 11, 2022	2022-08-11	Rated 5 out of 5 stars	Simple and easy to navigate. Great purchase experience!	5e1fb07a4c24532f30013329	6
Friendly Platform	Aug 11, 2022	2022-08-11	Rated 4 out of 5 stars	The platform is friendly however always retain human interface for customer service please. That is what will assist in customer retention. :)	62f43b811d08f400128aeeff	6
it kept hanging many times	Aug 10, 2022	2022-08-10	Rated 2 out of 5 stars	it kept hanging many times, and didn't respond.	62f3dc9ce58751001257907d	6
Error and Time out when loading website	Aug 10, 2022	2022-08-10	Rated 1 out of 5 stars	Kept getting timed out and errored out when loading the website	62f3db7ad18c280012749813	6
It took me almost 2hrs trying to pay…	Updated Aug 11, 2022	2022-08-11	Rated 1 out of 5 stars	It took me almost 2hrs trying to pay for the policy as it will expire at the end of the day. The website is so slow and kept hanging at payment side. Luckily, after 12am the traffic eased up and still able to get my deal.	62f3db43a86c6400125e8205	6
Thank you for your service	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars	Thank you for your service. Although the website was hang I manage to the my 2years policy at discounted prices.	62f3d9e7a757c30014c9020a	6
Easy to renew my insurance.	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars		6287389e5f2ee70012cde3e8	6
Feedback	Aug 10, 2022	2022-08-10	Rated 1 out of 5 stars	I have very good experience with FWD for all my previous purchase but not for this time. I have tried many times. The screen keep popping up the message 'something went wrong, please contact us ....'.when i attempted to pay. The line was busy so I chose to wait for FWD to call me back but to no avail till end of the day.  After keying all my payment particulars, which include the OTP from the bank, it went back to the application page. I took it as the payment and application was unsuccessful as I did not receive any message or email. So I re-applied again. It took quite a while as the system was lagging. I hope I will not be deducted twice.	5c4120905a53952da8a32e16	6
1. Bugs in on-line payment	Aug 10, 2022	2022-08-10	Rated 3 out of 5 stars	"1. Moving back and then forward causes bug. e.g. Optional Covid coverage becomes ""unselectable"" Either button ""skip"" or ""remove"" equals to CANCEL. This is stupid/bug. I hv to move backward and restart earlier.:-(.  2. When accidentally click ""mobile section"" for on-line payment using my PC.. Oops.  The computer busy ""circle"" icon loop FOREVER, aargh.... I moved back to almost the beginning pg to restart. Finally got thru. 3. Print the page is also buggy. It turns out terrible PDF for PC with lastest Firefox. Two page items ""overlap"" into one. :-("	62f378dba86c6400125e1d30	6
tried so many times	Aug 10, 2022	2022-08-10	Rated 2 out of 5 stars	tried so many times , each time the price is different. from$62 to $77. keeps showing error when i comes to payment page.  finally got to pay without hanging.	62f377c11d08f400128a4805	6
Bought many travel insurance policies…	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars	Bought many travel insurance policies from FWD. Prices are low compared to other insurance companies. System is very easy to use. Also bought fire and home insurance from FWD.	5bb9ca9d4de5666d343e24b2	6
improvement could be had when…	Aug 10, 2022	2022-08-10	Rated 4 out of 5 stars	improvement could be had when application was being submitted - had to repeat it a few times when the site hungthis of course made things more inconvenient.  perhaps it is to do with maintenancethanks!	5bc408c34de5666d3467ce0f	7
User friendly online purchase	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars	User friendly online purchase, simple & easy to use. Value for money.	5de52268ebb74643b301436d	7
Easy to use website and appreciated the…	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars	Easy to use website and appreciated the National Day discount.	62f34fead18c280012741084	7
First Time Buying Insurance Online	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars	My first time buying insurance online w/o an advisorEasy-to-use website: - not cluttered with too much information, yet have key details- little wait time as website loads with keyed in new dataHope rest of insurance process eg clarification of purchase, claims (if any) are similarly fuss-freeCalvin	62f34d8d0475560012ed9db9	7
Seamless Experience. Excellent	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars	All good. Seamless and pleasant experience. Thank you	5dc0f794f73d47a0d6ed7b4c	7
Easy Peasy Lemon Squeezy	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars		5c4fe488ebedf4bda9229c69	7
Easy and user friendly application.	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars		62f33f7a0475560012ed98e1	7
Straight forward login without any…	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars	Straight forward login without any confusing icons to click on. Details clearly illustrated.	60dad2f4dd7c4c0011963410	7
Easy	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars	Easy, Clarity and Efficient.	62f330d4a86c6400125df0e3	7
HDB Fire and Home Insurance	Aug 10, 2022	2022-08-10	Rated 5 out of 5 stars	Bought the HDB Fire and Home Insurance online. It was easy and smooth. Got a 57% National Day discount. Thank you FWD!	62f32e851d08f400128a1be3	7
Discounted Price	Aug 9, 2022	2022-08-09	Rated 5 out of 5 stars	User friendly and pleased with promo price offered	5db860d0882c79f63f3c8991	7
fast	Aug 9, 2022	2022-08-09	Rated 5 out of 5 stars	fast, easy, clear	5e480223133554f3d3a2e0a6	7
nice and fast	Aug 9, 2022	2022-08-09	Rated 4 out of 5 stars	nice and fast. its good overall	5a728b210000ff000b0b8b1a	7
As always awesome	Aug 9, 2022	2022-08-09	Rated 5 out of 5 stars	As always awesome. Simple and swift to transact.	5c88541e4fdf89661a12ec80	7
Buggy site	Aug 9, 2022	2022-08-09	Rated 1 out of 5 stars	Buggy site. Keeps telling me that something went wrong with the site. Had to redo my application thrice before payment could be processed.	62f27b56821f7b0012cfcd21	7
Home Fire Insurance	Aug 9, 2022	2022-08-09	Rated 4 out of 5 stars	simple yet concise wordings for parties to understand.	62f26a8ada9b7e0013e14faf	7
Easy to follow guidelines	Aug 9, 2022	2022-08-09	Rated 5 out of 5 stars		62f25f86c22ab0001284de50	7
encountered Website error multiple times	Aug 9, 2022	2022-08-09	Rated 3 out of 5 stars		62f23e80c22ab0001284c100	7
great NDP offer!	Aug 9, 2022	2022-08-09	Rated 4 out of 5 stars	every experience for renewing the car insurance policy is good except the web site is rather slow (maybe due to NDP promotion).  thanks for the promotion offer!	5e5e7e66878fee0cb3cccb0a	7
personal accident plan	Aug 9, 2022	2022-08-09	Rated 5 out of 5 stars	Fuss free. Great price	62f23349ada57b00142b8ad1	7
Great Service	Aug 9, 2022	2022-08-09	Rated 5 out of 5 stars	Great offer, good online purchase experience	5d60d4367fae1a8697248ffe	8
Seamless transaction	Aug 9, 2022	2022-08-09	Rated 5 out of 5 stars	Seamless transaction. Effortless Great discount.	62f2124f99839900120aa055	8
Easy and simple renewal process	Aug 9, 2022	2022-08-09	Rated 5 out of 5 stars	Provide loyalty promotion on top of existing promotion. Simple and straightforward in terms of renewing policy.	62f20407c22ab000128497ea	8
Superb discount for National Day promo	Aug 9, 2022	2022-08-09	Rated 5 out of 5 stars	Superb discount for National Day promo. Easy to renew online.	5db7f88317611c4783faf0dd	8
